Number of Nodes,Type,Edges,Predicted Betas,Predicted Gammas,Energy
8,3-Regular,"[(0, 1), (0, 6), (0, 7), (1, 3), (1, 7), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (4, 5), (5, 6)]","[0.02865298, 0.02524847, -0.16523489, -0.06681471, -0.36749735, 1.4689163, -0.0705906, 0.02749618]","[0.02873564, 0.03457911, 0.0138253, 0.03019685, 0.0124883, 0.04005492, 0.00985128, 0.02368489, 0.04714039, 0.05057823, -0.01849491, -0.10707153]",-6.184217040270788
8,3-Regular,"[(0, 1), (0, 3), (0, 4), (1, 4), (1, 7), (2, 3), (2, 5), (2, 6), (3, 7), (4, 6), (5, 6), (5, 7)]","[-0.04410586, 0.01448895, 1.76778376, 0.23462044, -0.0725032, -0.16702501, 0.29668748, -0.22205088]","[0.04136348, 0.03429049, 0.0245211, 0.03225446, 0.04319441, -0.08701043, -0.1781646, -0.0927368, 0.03744798, 0.0434714, 0.08842014, 0.07401359]",-6.077989564856628
8,3-Regular,"[(0, 4), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (6, 7)]","[-0.0192109, -0.18469505, -0.25216812, 0.02643837, 0.01531254, 0.52131134, 0.02875655, 0.02894463]","[0.03894125, -0.02772833, -0.03440692, 0.04658982, 0.04391269, 0.05002293, 0.03352265, 0.05367921, 0.03414352, 0.02552836, 0.03560173, 0.03240667]",-6.010216743839279
8,3-Regular,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 5), (1, 7), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (5, 7)]","[0.01423951, 0.31046483, 0.02724861, -0.00818786, 0.00123027, -0.28355184, 0.01842695, -0.28736129]","[0.03142715, 0.03582788, 0.03665418, -0.01168962, 0.00174307, 0.01187727, 0.03895355, 0.03272783, 0.03776925, 0.03060156, -0.05423881, 0.03933749]",-6.038380726622563
8,3-Regular,"[(0, 2), (0, 5), (0, 6), (1, 2), (1, 3), (1, 7), (2, 7), (3, 4), (3, 5), (4, 6), (4, 7), (5, 6)]","[0.02787134, -0.22577217, -0.07201044, -0.11154329, 0.12515493, 0.02637052, 0.02905255, -0.34704778]","[0.03613199, 0.02852772, 0.03293735, 0.04955561, 0.05427508, 0.02728804, 0.03584427, 0.05569976, 0.03950864, 0.04694295, -0.011249, 0.03547771]",-6.127639080295999
8,3-Regular,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 5), (2, 4), (2, 7), (3, 4), (3, 6), (5, 6), (5, 7), (6, 7)]","[0.02656907, -0.14258958, 0.65132642, 0.02245566, 0.00634714, -0.37521848, -0.15508343, 1.13238692]","[0.04848322, 0.02037645, 0.029601, 0.05467626, 0.1641084, -0.01009023, -0.04015974, 0.0272016, 0.04113717, 0.13477029, 0.0576578, 0.01900927]",-6.119211438048076
8,3-Regular,"[(0, 1), (0, 6), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 5), (4, 7)]","[0.77717441, 0.28337482, 0.02504518, 0.02597225, 0.02400557, 0.02111286, 0.80261922, -0.03769515]","[-0.13371326, 0.04042247, -0.08613156, 0.0441476, -0.09324197, 0.01271391, 0.0043318, 0.00964991, 0.01661217, 0.02708874, 0.00957112, 0.01377082]",-6.188702735234156
8,3-Regular,"[(0, 3), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (3, 6), (4, 7), (5, 7), (6, 7)]","[0.02810499, -0.10735071, -0.26840609, 0.02770438, -0.12994269, 0.02323414, 0.02501778, 0.02751731]","[0.01565041, 0.02525405, 0.01594202, 0.0420072, 0.04254467, 0.06230207, 0.04287073, 0.04121739, 0.02227216, 0.04129812, 0.03442157, 0.02706293]",-6.079818627784187
8,3-Regular,"[(0, 2), (0, 3), (0, 7), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (3, 7), (4, 6), (5, 6), (5, 7)]","[0.80279636, 0.02727813, -0.32120666, 1.21266484, 0.02668017, 0.02591884, 0.02488702, -0.27030087]","[-0.08301517, 0.01273851, -0.04706918, 0.01911576, 0.01195839, 0.02175711, 0.00500886, 0.04020315, -0.09948686, 0.02778786, 0.0253031, 0.03060505]",-6.087894671027225
8,3-Regular,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 3), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6)]","[0.02776514, 0.02849436, 0.02538269, -0.00852349, -0.35351095, -0.03836574, 0.69708145, 0.02182858]","[0.02669547, 0.02592975, 0.04361765, 0.02829396, 0.03009517, 0.02676881, -0.14709567, 0.03825787, 0.06718792, -0.00308903, 0.05222072, 0.05640373]",-5.772137467613501
8,Erdos-Renyi,"[(0, 1), (0, 2), (0, 4), (1, 5), (1, 7), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]","[0.02925847, -0.06516667, 0.89091188, 1.40812266, -0.16991134, 0.66403657, 1.47691917, 1.30039144]","[0.07080723, 0.0545978, -0.18923868, -0.00243647, -0.02589979, -0.11347696, -0.14837964, -0.33749285, -0.02647888, -0.11638185, -0.03171421, -0.06333853, -0.18718983, -0.30775511, -0.16734517]",-7.092623223452299
8,Erdos-Renyi,"[(0, 2), (0, 3), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]","[0.05076201, 0.05714408, 0.0537633, 0.05734838, 0.0504714, 0.0516205, 0.05139178, 0.04885202]","[0.0543508, 0.04930002, 0.05185153, 0.0241988, 0.03814995, 0.03121765, 0.02995378, 0.01723262, 0.03530058, 0.03119752, 0.03117971, 0.02759868, 0.04621113, 0.04055677, 0.0393582, 0.0315327, 0.02530987, 0.02595499, 0.02959357, 0.02561922, 0.02537263]",-10.35272135582789
8,Erdos-Renyi,"[(0, 2), (0, 3), (0, 6), (1, 4), (1, 5), (1, 7), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]","[0.48839265, 1.0249809, 0.88426512, 1.18091178, 0.73589617, 0.60260063, -0.08729651, -0.37912151]","[-0.15595701, -0.05723717, -0.02985696, -0.09490468, -0.01970125, -0.46449077, -0.145501, -0.12614298, -0.20834082, 0.01575969, 0.02737446, -0.39593524, -0.08429603, -0.22949994, 0.02530697, -0.21243758, -0.19759469]",-8.904860210864502
8,Erdos-Renyi,"[(0, 1), (0, 5), (1, 2), (1, 6), (2, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]","[-0.29678547, -0.42081982, 0.07780764, -0.38839179, 0.97591233, -0.31908441, 0.29352006, -0.25585595]","[0.01184714, 0.05572863, 0.03285693, 0.00660032, 0.05412944, 0.04645738, 0.01901695, 0.04958996, 0.0468416, -0.01818367, -0.08335261, 0.04179887, 0.0429015]",-6.487400318168616
8,Erdos-Renyi,"[(0, 1), (0, 3), (0, 7), (1, 6), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]","[0.60651225, 0.86693901, 0.46752721, 1.11870146, 1.05548036, -0.10297124, -0.35075107, 0.70852363]","[0.04196086, 0.02236876, 0.01947419, -0.34523088, -0.10492176, 0.00201693, -0.27205408, -0.07388956, -0.15005839, -0.32870728, -0.01956841, -0.2656312, -0.2796706, -0.11898263, -0.06021276, 0.01419291, -0.13886754]",-9.145229997715115
