Number of Nodes,Type,Edges
6,er-sparse,"[(0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (3, 5)]"
6,er-medium,"[(0, 2), (0, 4), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4), (4, 5)]"
6,er-dense,"[(0, 2), (0, 4), (0, 5), (1, 2), (1, 4), (1, 5), (2, 3), (2, 4), (3, 4), (4, 5)]"
6,3-regular,"[(0, 1), (0, 4), (0, 5), (1, 2), (1, 4), (2, 3), (2, 5), (3, 4), (3, 5)]"
6,4-regular,"[(0, 1), (0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5)]"
6,cycle,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (4, 5)]"
6,path,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]"
6,tree,"[(0, 2), (0, 3), (1, 3), (2, 5), (3, 4)]"
6,star,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]"
6,wheel,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 5), (2, 3), (3, 4), (4, 5)]"
6,grid,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (4, 5)]"
6,prism,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 5)]"
6,barbell,"[(0, 1), (0, 2), (1, 2), (2, 3), (3, 4), (3, 5), (4, 5)]"
6,bipartite,"[(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5)]"
6,complete,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]"
7,er-sparse,"[(0, 2), (0, 3), (0, 6), (1, 4), (1, 6), (3, 5), (3, 6)]"
7,er-medium,"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 4), (1, 6), (2, 5), (3, 5), (3, 6), (4, 6)]"
7,er-dense,"[(0, 2), (0, 4), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 6), (4, 6), (5, 6)]"
7,4-regular,"[(0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 6), (5, 6)]"
7,cycle,"[(0, 1), (0, 6), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]"
7,path,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]"
7,tree,"[(0, 3), (0, 6), (1, 6), (2, 3), (3, 5), (4, 6)]"
7,star,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]"
7,wheel,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 6), (2, 3), (3, 4), (4, 5), (5, 6)]"
7,bipartite,"[(0, 3), (0, 4), (0, 5), (0, 6), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6)]"
7,complete,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
8,er-sparse,"[(0, 4), (1, 2), (1, 4), (1, 5), (2, 4), (3, 5), (4, 7), (6, 7)]"
8,er-medium,"[(0, 1), (0, 4), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (2, 4), (3, 5), (4, 7), (5, 6), (5, 7), (6, 7)]"
8,er-dense,"[(0, 1), (0, 2), (0, 4), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 7), (3, 4), (3, 5), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
8,3-regular,"[(0, 1), (0, 6), (0, 7), (1, 3), (1, 7), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (4, 5), (5, 6)]"
8,4-regular,"[(0, 1), (0, 2), (0, 6), (0, 7), (1, 2), (1, 4), (1, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]"
8,cycle,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]"
8,path,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]"
8,tree,"[(0, 3), (0, 4), (1, 6), (2, 6), (4, 7), (5, 6), (6, 7)]"
8,star,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]"
8,wheel,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]"
8,grid,"[(0, 1), (0, 4), (1, 2), (1, 5), (2, 3), (2, 6), (3, 7), (4, 5), (5, 6), (6, 7)]"
8,prism,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 5), (2, 3), (2, 6), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]"
8,barbell,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
8,bipartite,"[(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7)]"
8,complete,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
9,er-sparse,"[(0, 4), (1, 2), (1, 8), (2, 4), (3, 5), (3, 8), (4, 6), (4, 8), (5, 6), (5, 7), (7, 8)]"
9,er-medium,"[(0, 4), (0, 7), (0, 8), (1, 2), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (3, 5), (3, 8), (4, 6), (4, 8), (5, 6), (5, 7), (5, 8), (7, 8)]"
9,er-dense,"[(0, 1), (0, 2), (0, 4), (0, 7), (0, 8), (1, 2), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (3, 4), (3, 5), (3, 6), (3, 8), (4, 6), (4, 7), (4, 8), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)]"
